Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label
2017/5/11,2017,5,11,Thursday,19,2017-19,66.25,66.31,65.33,65.92,4307300,64.89,-0.008572783,65.88571429,65.5624,Red
2017/5/12,2017,5,12,Friday,19,2017-19,66,66.48,65.96,66.33,2251500,65.29,0.006219784,65.78285714,65.5748,Red
2017/5/15,2017,5,15,Monday,20,2017-20,66.34,66.78,66.18,66.46,1703200,65.42,0.0019598,65.69857143,65.592,Red
2017/5/16,2017,5,16,Tuesday,20,2017-20,66.55,66.66,65.53,65.55,4067200,64.52,-0.013692347,65.59642857,65.5972,Red
2017/5/17,2017,5,17,Wednesday,20,2017-20,65.55,66.08,65.14,65.33,4720000,64.31,-0.00335624,65.45928571,65.5884,Red
2017/5/18,2017,5,18,Thursday,20,2017-20,65.57,66.14,65.15,65.63,3335700,64.6,0.004592006,65.35928571,65.607,Red
2017/5/19,2017,5,19,Friday,20,2017-20,65.73,65.86,65.24,65.54,3901400,64.51,-0.00137121,65.29428571,65.6244,Red
2017/5/22,2017,5,22,Monday,21,2017-21,65.4,66.16,65.28,65.93,2847400,64.9,0.005950504,65.23357143,65.6398,Green
2017/5/23,2017,5,23,Tuesday,21,2017-21,65.95,66.7,65.83,66.16,2990400,65.13,0.003488546,65.19071429,65.6574,Green
2017/5/24,2017,5,24,Wednesday,21,2017-21,66.3,66.5,66.13,66.23,2476700,65.19,0.001057979,65.13928571,65.6778,Green
2017/5/25,2017,5,25,Thursday,21,2017-21,66.35,67.45,66.06,67.29,5289300,66.24,0.016004934,65.15,65.6956,Green
2017/5/26,2017,5,26,Friday,21,2017-21,67.32,67.69,67.21,67.37,4077100,66.32,0.001188798,65.17857143,65.7318,Green
2017/5/30,2017,5,30,Tuesday,22,2017-22,67.35,68.11,67.12,67.89,1958400,66.83,0.007718644,65.25714286,65.767,Green
2017/5/31,2017,5,31,Wednesday,22,2017-22,67.97,68.48,67.93,68.38,3183300,67.31,0.007217478,65.39,65.8202,Green
2017/6/1,2017,6,1,Thursday,22,2017-22,68.29,68.92,68.02,68.89,2883900,67.81,0.00745842,65.59857143,65.8608,Green
2017/6/2,2017,6,2,Friday,22,2017-22,70.32,70.32,68.69,68.85,2371700,67.77,-0.00058065,65.77571429,65.8978,Green
2017/6/5,2017,6,5,Monday,23,2017-23,68.79,69.04,68.68,68.72,1377000,67.65,-0.001888293,65.935,65.9308,Red
2017/6/6,2017,6,6,Tuesday,23,2017-23,68.92,68.92,68.55,68.68,2149500,67.61,-0.000582087,66.15571429,65.9568,Red
2017/6/7,2017,6,7,Wednesday,23,2017-23,68.7,69.19,68.57,69.02,1688400,67.94,0.004950561,66.415,66.0024,Red
2017/6/8,2017,6,8,Thursday,23,2017-23,69.02,69.02,67.93,68.49,2743500,67.42,-0.00767887,66.61642857,66.0348,Red
2017/6/9,2017,6,9,Friday,23,2017-23,68.18,68.65,67.84,68.41,2750100,67.34,-0.001168082,66.81857143,66.0698,Red
2017/6/12,2017,6,12,Monday,24,2017-24,68.29,68.35,67.33,67.33,2567800,66.28,-0.015787214,66.91714286,66.089,Green
2017/6/13,2017,6,13,Tuesday,24,2017-24,67.33,67.57,67.07,67.46,1964900,66.4,0.001930807,67.00785714,66.1106,Green
2017/6/14,2017,6,14,Wednesday,24,2017-24,67.98,68.61,67.65,68.35,2995200,67.28,0.01319307,67.15714286,66.1462,Green
2017/6/15,2017,6,15,Thursday,24,2017-24,68.15,69.24,68.07,69.06,4010800,67.98,0.010387654,67.28142857,66.1884,Green
2017/6/16,2017,6,16,Friday,24,2017-24,69.42,69.53,69.01,69.16,4509100,68.08,0.001448108,67.40714286,66.2216,Green
2017/6/19,2017,6,19,Monday,25,2017-25,69.23,69.36,68.84,69.03,2979800,67.95,-0.001879717,67.48714286,66.2544,Red
2017/6/20,2017,6,20,Tuesday,25,2017-25,69.12,69.31,68.92,69.22,1216800,68.14,0.002752298,67.54642857,66.298,Red
2017/6/21,2017,6,21,Wednesday,25,2017-25,69.28,69.42,68.86,69.18,1761700,68.1,-0.000577882,67.56714286,66.3396,Red
2017/6/22,2017,6,22,Thursday,25,2017-25,69.05,69.41,68.76,68.81,1524100,67.73,-0.005348359,67.56428571,66.375,Red
2017/6/23,2017,6,23,Friday,25,2017-25,68.76,68.86,67.89,68.03,2768400,66.97,-0.011335447,67.51571429,66.3852,Red
2017/6/26,2017,6,26,Monday,26,2017-26,68.17,68.64,67.85,68.12,1965100,67.05,0.00132295,67.47571429,66.4044,Red
2017/6/27,2017,6,27,Tuesday,26,2017-26,67.82,68.07,67.02,67.04,2266300,65.99,-0.015854309,67.33642857,66.3958,Red
2017/6/28,2017,6,28,Wednesday,26,2017-26,66.72,66.89,66.03,66.1,2684000,65.58,-0.006164661,67.205,66.378,Red
2017/6/29,2017,6,29,Thursday,26,2017-26,65.74,66.33,65.43,66.1,3258800,65.58,0,67.07928571,66.36,Red
2017/6/30,2017,6,30,Friday,26,2017-26,66.27,66.88,66.17,66.37,3148800,65.85,0.00408478,67.04857143,66.355,Red
2017/7/3,2017,7,3,Monday,27,2017-27,66.52,66.62,65.62,65.62,1525400,65.11,-0.011300232,66.95642857,66.3316,Red
2017/7/5,2017,7,5,Wednesday,27,2017-27,65.72,65.93,65.2,65.44,1836600,64.93,-0.002743067,66.78857143,66.2956,Red
2017/7/6,2017,7,6,Thursday,27,2017-27,65.21,65.58,65.06,65.21,2894200,64.7,-0.00351473,66.55428571,66.2576,Red
2017/7/7,2017,7,7,Friday,27,2017-27,65.26,65.6,65.12,65.32,1479600,64.81,0.001686799,66.32071429,66.2348,Red
2017/7/10,2017,7,10,Monday,28,2017-28,65.47,65.56,65.02,65.06,1607800,64.55,-0.003980406,66.07785714,66.2012,Green
2017/7/11,2017,7,11,Tuesday,28,2017-28,65.2,65.37,64.84,65.05,1707100,64.54,-0.000153645,65.82071429,66.172,Green
2017/7/12,2017,7,12,Wednesday,28,2017-28,65.64,65.68,64.98,65.04,2728200,64.53,-0.000153669,65.56571429,66.1542,Green
2017/7/13,2017,7,13,Thursday,28,2017-28,65.33,66.7,65.22,66.2,5120700,65.68,0.017835064,65.41928571,66.1528,Green
2017/7/14,2017,7,14,Friday,28,2017-28,66.63,66.89,66.23,66.35,2406300,65.83,0.00226592,65.33785714,66.1548,Green
2017/7/17,2017,7,17,Monday,29,2017-29,66.34,66.52,66.11,66.48,1139000,65.96,0.001959365,65.26,66.1558,Green
2017/7/18,2017,7,18,Tuesday,29,2017-29,66.66,66.73,66.46,66.63,2090700,66.11,0.00225626,65.26857143,66.1562,Green
2017/7/19,2017,7,19,Wednesday,29,2017-29,66.8,67.1,66.55,67.1,1396000,66.58,0.007053824,65.34,66.1694,Green
2017/7/20,2017,7,20,Thursday,29,2017-29,67.27,67.79,67.13,67.64,2462300,67.11,0.008047693,65.44928571,66.197,Green
2017/7/21,2017,7,21,Friday,29,2017-29,67.52,68.27,67.35,68.26,1525400,67.73,0.009166291,65.58357143,66.2426,Green
2017/7/24,2017,7,24,Monday,30,2017-30,68.21,68.28,67.68,67.9,2242300,67.37,-0.005273954,65.745,66.2922,Red
2017/7/25,2017,7,25,Tuesday,30,2017-30,67.82,67.96,67.5,67.51,2413500,66.98,-0.005743799,65.89142857,66.326,Red
2017/7/26,2017,7,26,Wednesday,30,2017-30,67.42,67.9,67.21,67.9,2056000,67.37,0.005776981,66.08214286,66.365,Red
2017/7/27,2017,7,27,Thursday,30,2017-30,68.18,68.18,67.33,67.55,2842200,67.02,-0.005154697,66.24,66.415,Red
2017/7/28,2017,7,28,Friday,30,2017-30,67.48,67.78,67.16,67.45,1423500,66.92,-0.001480499,66.40928571,66.4672,Red
2017/7/31,2017,7,31,Monday,31,2017-31,67.52,67.87,67.27,67.69,1438900,67.16,0.003558307,66.59642857,66.5184,Green
2017/8/1,2017,8,1,Tuesday,31,2017-31,67.51,68.23,67.41,68.22,1893000,67.69,0.007829758,66.82214286,66.582,Green
2017/8/2,2017,8,2,Wednesday,31,2017-31,67.94,68.43,67.58,68.39,1732700,67.86,0.002491995,66.97785714,66.6412,Green
2017/8/3,2017,8,3,Thursday,31,2017-31,68.34,68.99,68.2,68.91,2407000,68.37,0.007603453,67.15928571,66.706,Green
2017/8/4,2017,8,4,Friday,31,2017-31,68.64,68.88,68.11,68.55,1281300,68.02,-0.005224207,67.30642857,66.7626,Green
2017/8/7,2017,8,7,Monday,32,2017-32,68.54,68.98,68.24,68.94,1456700,68.4,0.005689336,67.47,66.8058,Green
2017/8/8,2017,8,8,Tuesday,32,2017-32,68.75,69.26,68.63,69.25,1416100,68.71,0.004496609,67.62214286,66.8536,Green
2017/8/9,2017,8,9,Wednesday,32,2017-32,69.46,69.46,68.9,69.02,1625100,68.48,-0.003321356,67.72,66.8866,Green
2017/8/10,2017,8,10,Thursday,32,2017-32,68.9,69.31,68.68,69.13,1613100,68.59,0.001593686,67.78142857,66.9122,Green
2017/8/11,2017,8,11,Friday,32,2017-32,69.25,69.41,68.83,69.02,2199900,68.48,-0.00159115,67.86071429,66.9256,Green
2017/8/14,2017,8,14,Monday,33,2017-33,68.98,69.28,68.82,69.17,1296900,68.63,0.00217334,67.97857143,66.9428,Green
2017/8/15,2017,8,15,Tuesday,33,2017-33,68.92,69.64,68.53,69.35,1732300,68.81,0.002602285,68.08142857,66.966,Green
2017/8/16,2017,8,16,Wednesday,33,2017-33,69.43,69.68,69.18,69.56,1327500,69.02,0.003028064,68.22428571,66.9942,Green
2017/8/17,2017,8,17,Thursday,33,2017-33,69.53,69.69,68.95,68.98,1246700,68.44,-0.008338018,68.33285714,67.0042,Green
2017/8/18,2017,8,18,Friday,33,2017-33,69.06,69.49,68.75,69.14,2069200,68.6,0.002319402,68.43571429,67.0278,Green
2017/8/21,2017,8,21,Monday,34,2017-34,69.24,69.52,69.06,69.35,868400,68.81,0.003037372,68.51571429,67.0572,Green
2017/8/22,2017,8,22,Tuesday,34,2017-34,69.43,69.67,69.19,69.67,2269600,69.13,0.004614277,68.60642857,67.1142,Green
2017/8/23,2017,8,23,Wednesday,34,2017-34,69.62,69.91,69.43,69.9,1066300,69.35,0.003301223,68.67642857,67.1732,Green
2017/8/24,2017,8,24,Thursday,34,2017-34,69.87,70.04,69.68,69.78,1035700,69.24,-0.001716739,68.76357143,67.2124,Green
2017/8/25,2017,8,25,Friday,34,2017-34,70,70.35,69.82,70.08,1353400,69.53,0.004299338,68.84428571,67.2434,Green
2017/8/28,2017,8,28,Monday,35,2017-35,70.3,70.44,69.96,70.31,3102000,69.76,0.0032818,68.91928571,67.277,Red
2017/8/29,2017,8,29,Tuesday,35,2017-35,70.2,70.58,70.15,70.26,1051100,69.71,-0.000710973,69.00714286,67.3122,Red
2017/8/30,2017,8,30,Wednesday,35,2017-35,70.19,70.33,70.04,70.11,1223100,69.56,-0.002134983,69.07642857,67.3406,Red
2017/8/31,2017,8,31,Thursday,35,2017-35,70.2,70.42,70.01,70.38,2498300,69.83,0.003851037,69.17285714,67.3752,Red
2017/9/1,2017,9,1,Friday,35,2017-35,70.46,70.54,69.71,69.87,1552200,69.33,-0.007246325,69.22285714,67.4072,Red
2017/9/5,2017,9,5,Tuesday,36,2017-36,69.94,70.12,69.55,69.84,3374600,69.3,-0.000429424,69.25785714,67.4538,Green
2017/9/6,2017,9,6,Wednesday,36,2017-36,70.08,70.09,69.6,69.68,2653800,69.14,-0.002290952,69.26642857,67.4956,Green
2017/9/7,2017,9,7,Thursday,36,2017-36,69.89,70.38,69.74,70.31,1539300,69.76,0.00904128,69.36071429,67.571,Green
2017/9/8,2017,9,8,Friday,36,2017-36,70.23,70.77,70.03,70.64,1383300,70.09,0.004693557,69.46714286,67.6612,Green
2017/9/11,2017,9,11,Monday,37,2017-37,70.63,71.57,70.62,71.56,1619100,71,0.013023787,69.62357143,67.7696,Red
2017/9/12,2017,9,12,Tuesday,37,2017-37,71.45,71.49,69.8,70.16,1963400,69.61,-0.019563901,69.65785714,67.8448,Red
2017/9/13,2017,9,13,Wednesday,37,2017-37,70.09,70.16,69.47,69.55,2544900,69.01,-0.008694469,69.63357143,67.9228,Red
2017/9/14,2017,9,14,Thursday,37,2017-37,69.47,70.16,69.25,70.09,1944600,69.54,0.00776409,69.655,68.015,Red
2017/9/15,2017,9,15,Friday,37,2017-37,70.16,70.38,69.96,70.28,3026000,69.73,0.002710856,69.66928571,68.1156,Red
2017/9/18,2017,9,18,Monday,38,2017-38,70.27,70.33,69.19,69.65,1487900,69.11,-0.008964092,69.62285714,68.2016,Red
2017/9/19,2017,9,19,Tuesday,38,2017-38,69.68,69.76,69.25,69.28,1694000,68.74,-0.005312332,69.55357143,68.2854,Red
2017/9/20,2017,9,20,Wednesday,38,2017-38,69.47,69.66,68.66,69.05,2700700,68.51,-0.003319807,69.47857143,68.3648,Red
2017/9/21,2017,9,21,Thursday,38,2017-38,69.11,69.34,68.91,69.18,2346000,68.64,0.001882639,69.39357143,68.447,Red
2017/9/22,2017,9,22,Friday,38,2017-38,69.45,69.45,68.77,68.9,2890000,68.36,-0.004047303,69.32428571,68.5006,Red
2017/9/25,2017,9,25,Monday,39,2017-39,68.89,69.37,68.68,69.29,1959700,68.75,0.005660323,69.285,68.559,Red
2017/9/26,2017,9,26,Tuesday,39,2017-39,68.98,69.35,68.86,69.04,2344000,68.5,-0.003608081,69.23928571,68.6098,Red
2017/9/27,2017,9,27,Wednesday,39,2017-39,68.65,68.91,67.52,67.97,2631300,67.44,-0.015498211,69.07357143,68.6364,Red
2017/9/28,2017,9,28,Thursday,39,2017-39,67.41,68.13,67.26,68.05,2349800,68.05,0.009045086,68.92785714,68.6658,Red
2017/9/29,2017,9,29,Friday,39,2017-39,68.08,68.25,67.73,68.09,3118800,68.09,0.000587704,68.72,68.6854,Red
2017/10/2,2017,10,2,Monday,40,2017-40,68.29,68.53,68.01,68.13,1525000,68.13,0.000587471,68.61428571,68.6934,Green
2017/10/3,2017,10,3,Tuesday,40,2017-40,67.99,68.36,67.61,68.31,2576900,68.31,0.002642013,68.56428571,68.7122,Green
2017/10/4,2017,10,4,Wednesday,40,2017-40,68.45,69.21,68.28,69.2,2279100,69.2,0.013028831,68.54,68.7566,Green
2017/10/5,2017,10,5,Thursday,40,2017-40,69.16,69.32,68.72,69.07,1783000,69.07,-0.001878573,68.49285714,68.7906,Green
2017/10/6,2017,10,6,Friday,40,2017-40,68.93,68.95,68.59,68.84,2201400,68.84,-0.003330004,68.47357143,68.827,Green
2017/10/9,2017,10,9,Monday,41,2017-41,68.9,68.95,68.57,68.65,963900,68.65,-0.002759948,68.46714286,68.8616,Red
2017/10/10,2017,10,10,Tuesday,41,2017-41,68.76,69.32,68.53,69.19,2004700,69.19,0.007866,68.51571429,68.9022,Red
2017/10/11,2017,10,11,Wednesday,41,2017-41,69.08,69.67,68.67,69.15,4473600,69.15,-0.000578131,68.55214286,68.9314,Red
2017/10/12,2017,10,12,Thursday,41,2017-41,69.29,69.35,64.42,64.5,12958000,64.5,-0.06724514,68.27642857,68.8642,Red
2017/10/13,2017,10,13,Friday,41,2017-41,63.95,64.06,56.13,57.72,29216400,57.72,-0.10511626,67.48857143,68.6512,Red
2017/10/16,2017,10,16,Monday,42,2017-42,57.28,57.48,49.83,53.43,39289900,53.43,-0.074324339,66.41214286,68.3594,Green
2017/10/17,2017,10,17,Tuesday,42,2017-42,55.4,59.5,54.46,57.44,27735300,57.44,0.075051437,65.69785714,68.1402,Green
2017/10/18,2017,10,18,Wednesday,42,2017-42,57.71,57.89,56.41,56.44,12402500,56.44,-0.017409471,64.86857143,67.8948,Green
2017/10/19,2017,10,19,Thursday,42,2017-42,56.83,57.55,56.54,57,10741800,57,0.009922066,64.07642857,67.6652,Green
2017/10/20,2017,10,20,Friday,42,2017-42,57.34,58.37,57.29,57.86,7758300,57.86,0.01508773,63.34285714,67.4506,Green
2017/10/23,2017,10,23,Monday,43,2017-43,57.74,57.84,57.03,57.26,6345700,57.26,-0.010369898,62.55357143,67.2262,Red
2017/10/24,2017,10,24,Tuesday,43,2017-43,57.27,57.53,56.95,57.11,5599300,57.11,-0.00261959,61.69,66.9958,Red
2017/10/25,2017,10,25,Wednesday,43,2017-43,56.85,57.14,56.38,56.68,6567900,56.68,-0.007529335,60.805,66.7532,Red
2017/10/26,2017,10,26,Thursday,43,2017-43,56.98,57.34,56.64,56.74,3300500,56.74,0.001058599,59.94071429,66.5076,Red
2017/10/27,2017,10,27,Friday,43,2017-43,56.7,57.28,56.59,57.13,3027800,57.13,0.006873447,59.11785714,66.2814,Red
2017/10/30,2017,10,30,Monday,44,2017-44,57.01,57.57,56.7,57.27,4254400,57.27,0.002450541,58.26642857,66.0548,Red
2017/10/31,2017,10,31,Tuesday,44,2017-44,57.26,58.38,56.97,57.77,5332000,57.77,0.008730574,57.45357143,65.834,Red
2017/11/1,2017,11,1,Wednesday,44,2017-44,57.61,57.68,56.91,57.24,4444100,57.24,-0.009174291,56.935,65.5962,Red
2017/11/2,2017,11,2,Thursday,44,2017-44,57.9,57.99,55.9,56.65,4879300,56.65,-0.01030748,56.85857143,65.3422,Red
2017/11/3,2017,11,3,Friday,44,2017-44,56.68,57.01,56.04,56.8,5250100,56.8,0.002647797,57.09928571,65.0934,Red
2017/11/6,2017,11,6,Monday,45,2017-45,56.5,56.96,56.23,56.77,3449700,56.77,-0.000528148,57.05142857,64.8382,Green
2017/11/7,2017,11,7,Tuesday,45,2017-45,56.99,57,56.19,56.3,4986400,56.3,-0.008279042,57.04142857,64.569,Green
2017/11/8,2017,11,8,Wednesday,45,2017-45,56.2,56.61,55.68,55.83,6035400,55.83,-0.008348089,56.95785714,64.2914,Green
2017/11/9,2017,11,9,Thursday,45,2017-45,55.72,56.34,55.45,55.95,4783500,55.95,0.002149363,56.82142857,64.0192,Green
2017/11/10,2017,11,10,Friday,45,2017-45,55.58,57.02,55.5,56.95,5597300,56.95,0.017873101,56.79928571,63.7616,Green
2017/11/13,2017,11,13,Monday,46,2017-46,56.92,57.11,56.48,56.89,5047500,56.89,-0.00105358,56.78357143,63.5128,Red
2017/11/14,2017,11,14,Tuesday,46,2017-46,56.71,56.89,56.25,56.61,6677600,56.61,-0.004921757,56.77857143,63.259,Red
2017/11/15,2017,11,15,Wednesday,46,2017-46,56.82,56.9,55.54,55.63,5129300,55.63,-0.017311421,56.69928571,62.9888,Red
2017/11/16,2017,11,16,Thursday,46,2017-46,55.63,55.66,55.13,55.15,5942900,55.15,-0.008628429,56.55785714,62.6966,Red
2017/11/17,2017,11,17,Friday,46,2017-46,55.01,55.25,54,54,7721000,54,-0.020852248,56.32428571,62.3748,Red
2017/11/20,2017,11,20,Monday,47,2017-47,54,54.23,52.65,52.65,8836300,52.65,-0.024999972,55.95857143,62.0078,Green
2017/11/21,2017,11,21,Tuesday,47,2017-47,52.75,54.02,52.46,53.73,10990900,53.73,0.020512782,55.70785714,61.6902,Green
2017/11/22,2017,11,22,Wednesday,47,2017-47,53.78,54.39,53.43,53.89,4241400,53.89,0.002977849,55.51071429,61.3878,Green
2017/11/24,2017,11,24,Friday,47,2017-47,54.01,54.1,53.82,54.06,1865300,54.06,0.003154611,55.315,61.0782,Green
2017/11/27,2017,11,27,Monday,48,2017-48,54,54.25,53.73,54.19,3104500,54.19,0.002404685,55.13071429,60.7674,Green
